cue_stim_type,cue_orientation,cue_position,cue_time,cue_type,stim_position,expected_response,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,exo_trials.thisRepN,exo_trials.thisTrialN,exo_trials.thisN,exo_trials.thisIndex,intro_text.started,intro_text.stopped,intro_resp.keys,intro_resp.rt,intro_resp.started,intro_resp.stopped,key_resp.keys,key_resp.started,key_resp.stopped,endo_right.started,endo_right.stopped,endo_left.started,endo_left.stopped,fixation_cross.started,fixation_cross.stopped,endo_cue.started,endo_cue.stopped,endo_stimulus.started,endo_stimulus.stopped,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,exo_right.started,exo_right.stopped,exo_left.started,exo_left.stopped,fixation.started,fixation.stopped,exo_cue.started,exo_cue.stopped,exo_stimulus.started,exo_stimulus.stopped,outro_text.started,outro_text.stopped,participant,date,expName,psychopyVersion,frameRate,
endo,90,"(0.035, 0)",0.6423195276025604,correct,"(0.4, 0)",l,0,31,31,21,,,,,,,,,,,l,399.16884860000573,396.5471300999634,396.5471300999634,None,396.5471300999634,None,396.5471300999634,None,398.6725113999564,399.4292830999475,399.16884860000573,399.27096649992745,0.36759050004184246,,,,,,,,,,,,,,,,,006,2021_Dec_01_1442,cueing,2021.2.3,None,
endo,90,"(0.035, 0)",0.9010739803891251,incorrect,"(-0.4, 0)",a,0,32,32,11,,,,,,,,,,,a,402.4358174999943,None,399.55659239995293,None,399.55659239995293,None,399.55659239995293,None,401.93729829997756,402.68561499996576,402.4358174999943,402.5378324999474,0.9642624000553042,,,,,,,,,,,,,,,,,006,2021_Dec_01_1442,cueing,2021.2.3,None,
endo,-90,"(-0.035, 0)",0.37307711698805524,incorrect,"(0.4, 0)",l,0,33,33,37,,,,,,,,,,,l,405.77385599992704,None,403.4241788999643,None,403.4241788999643,None,403.4241788999643,None,405.27187930000946,406.0285840999568,405.77385599992704,405.8775017999578,0.5205434000818059,,,,,,,,,,,,,,,,,006,2021_Dec_01_1442,cueing,2021.2.3,None,
endo,-90,"(-0.035, 0)",0.04779793183180647,incorrect,"(0.4, 0)",l,0,34,34,33,,,,,,,,,,,None,408.34348829998635,None,406.3145102999406,413.3190163000254,406.3145102999406,413.3190163000254,406.3145102999406,413.3190163000254,407.84961279993877,408.5954633000074,408.34348829998635,408.448551199981,,,,,,,,,,,,,,,,,,006,2021_Dec_01_1442,cueing,2021.2.3,None,
endo,90,"(0.035, 0)",0.18359352140224616,incorrect,"(-0.4, 0)",a,0,35,35,18,,,,,,,,,,,a,417.50665769993793,415.34925989992917,415.34925989992917,None,415.34925989992917,None,415.34925989992917,None,417.00507610000204,417.76166820002254,417.50665769993793,417.61244329996407,0.43847990001086146,,,,,,,,,,,,,,,,,006,2021_Dec_01_1442,cueing,2021.2.3,None,
endo,-90,"(-0.035, 0)",0.5645407691009291,correct,"(-0.4, 0)",a,0,36,36,5,,,,,,,,,,,a,420.5195888999151,None,417.9677385999821,None,417.9677385999821,None,417.9677385999821,None,420.01066739996895,420.75581709994003,420.5195888999151,420.6195738000097,0.3662918000482023,,,,,,,,,,,,,,,,,006,2021_Dec_01_1442,cueing,2021.2.3,None,
endo,90,"(0.035, 0)",0.4283499593741631,correct,"(0.4, 0)",l,0,37,37,24,,,,,,,,,,,l,423.32096439995803,None,420.9136231999146,None,420.9136231999146,None,420.9136231999146,None,422.8182046000147,423.5674562000204,423.32096439995803,423.4220384999644,0.3093459999654442,,,,,,,,,,,,,,,,,006,2021_Dec_01_1442,cueing,2021.2.3,None,
endo,90,"(0.035, 0)",0.7311452878836484,correct,"(0.4, 0)",l,0,38,38,25,,,,,,,,,,,l,426.35532009997405,None,423.645734300022,None,423.645734300022,None,423.645734300022,None,425.85376620001625,426.6004152999958,426.35532009997405,426.45274480001535,0.4088983000256121,,,,,,,,,,,,,,,,,006,2021_Dec_01_1442,cueing,2021.2.3,None,
endo,-90,"(-0.035, 0)",0.7701712865549922,incorrect,"(0.4, 0)",l,0,39,39,34,,,,,,,,,,,None,429.53143560001627,None,426.77919659996405,433.77886860002764,426.77919659996405,433.77886860002764,426.77919659996405,433.77886860002764,429.0344824999338,429.7804202999687,429.53143560001627,429.6339127999963,,,,,,,,,,,,,,,,,,006,2021_Dec_01_1442,cueing,2021.2.3,None,
exo,,"(-0.4, 0)",0.24050347507599634,correct,"(-0.4, 0)",a,,,,,0,0,0,4,,,,,,,,,,,,,,,,,,,,,a,0.5344123999821022,438.4338052999228,None,436.6104804999195,None,436.6104804999195,None,436.6104804999195,None,438.3246442999225,438.4216184000252,438.4338052999228,438.53043719998095,,,006,2021_Dec_01_1442,cueing,2021.2.3,None,
